Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
"Belite Bio, Inc.",BLTE,Health Care,4/29/2022,6,$6.00,$10.59,$10.59,76.50%
"HilleVax, Inc.",HLVX,Health Care,4/29/2022,11.8,$17.00,$19.09,$19.09,12.29%
"Ostin Technology Group Co., Ltd.",OST,Industrials,4/27/2022,3.4,$4.00,$39.66,$3.70,-7.50%
"Tenon Medical, Inc.",TNON,Health Care,4/27/2022,3.2,$5.00,$22.50,$21.61,332.20%
JE Cleantech Holdings Limited,JCSE,Industrials,4/22/2022,3.8,$4.00,$19.00,$4.35,8.75%
"Applied Blockchain, Inc.",APLD,Technology,4/13/2022,8,$5.00,$4.85,$3.36,-32.80%
"Excelerate Energy, Inc.",EE,Oil & Gas,4/13/2022,16,$24.00,$26.85,$27.25,13.54%
Genius Group Limited,GNS,Consumer Services,4/12/2022,3.3,$6.00,$30.50,$5.75,-4.17%
Expion360 Inc.,XPON,Industrials,4/1/2022,2.2,$7.00,$7.93,$3.59,-48.71%
"AN2 Therapeutics, Inc.",ANTX,Health Care,3/25/2022,4.6,$15.00,$15.40,$15.63,4.20%
Akanda Corp.,AKAN,Health Care,3/15/2022,4,$4.00,$10.50,$8.49,112.25%
"The Marygold Companies, Inc. (aka Concierge Technologies, Inc.)",MGLD,Financials,3/10/2022,1.7,$2.00,$2.17,$1.37,-31.50%
"Blue Water Vaccines, Inc.",BWV,Health Care,2/18/2022,2.2,$9.00,$57.40,$3.59,-60.11%
Meihua International Medical Technologies,MHUA,Health Care,2/16/2022,3.6,$10.00,$12.92,$8.30,-17.00%
"Vivakor, Inc.",VIVK,Oil & Gas,2/14/2022,1.6,$5.00,$4.35,$2.58,-48.40%
Modiv Inc.,MDV,Financials,2/11/2022,0,$25.00,$68.00,$18.23,-27.08%
"The Arena Group (aka theMaven, Inc.)",AREN,Technology,2/11/2022,3.6,$8.25,$8.25,$10.35,25.45%
"HEARTCORE ENTERPRISES, INC.",HTCR,Technology,2/10/2022,3,$5.00,$4.95,$1.69,-66.20%
Sky Technologies Corp. (SQL Technologies Corp.),SKYX,Technology,2/10/2022,1.7,$14.00,$11.85,$12.00,-14.29%
"ARCELLX, INC.",ACLX,Health Care,2/4/2022,8.3,$15.00,$16.80,$10.93,-27.13%
"Nuvectis Pharma, Inc.",NVCT,Health Care,2/4/2022,3.2,$5.00,$3.25,$9.50,90.00%
Silver Spike Investment Corp.,SSIC,Financials,2/4/2022,6.1,$14.00,$14.00,$10.57,-24.50%
Credo Technology Group Holding Ltd.,CRDO,Technology,1/27/2022,20,$10.00,$11.65,$11.04,10.40%
"Yoshitsu Co., Ltd",TKLF,Consumer Goods,1/18/2022,6,$4.00,$32.00,$1.92,-52.00%
Cerberus Cyber Sentinel Corp.,CISO,Technology,1/14/2022,2,$5.00,$5.42,$4.22,-15.60%
"TPG, Inc.",TPG,Financials,1/13/2022,33.9,$29.50,$34.00,$25.71,-12.85%
"Amylyx Pharmaceuticals, Inc.",AMLX,Health Care,1/7/2022,10,$19.00,$18.07,$9.00,-52.63%
"CinCor Pharma, Inc.",CINC,Health Care,1/7/2022,12.1,$16.00,$16.00,$25.42,58.88%
"Hour Loop, Inc.",HOUR,Consumer Goods,1/7/2022,1.5,$4.00,$7.99,$3.04,-24.00%
"Vigil Neuroscience, Inc.",VIGL,Health Care,1/7/2022,7,$14.00,$12.65,$3.39,-75.79%
Bionomics Limited,BNOX,Health Care,12/16/2021,1.6,$12.35,$14.73,$7.80,-36.84%
"IMMIX BIOPHARMA, INC.",IMMX,Health Care,12/16/2021,4.2,$5.00,$3.67,$1.38,-72.40%
Genenta Science S.p.A.,GNTA,Health Care,12/15/2021,2.4,$11.50,$11.00,$5.80,-49.57%
"Samsara, Inc.",IOT,Technology,12/15/2021,35,$23.00,$24.70,$12.34,-46.35%
"Fresh Vine Wine, Inc.",VINE,Consumer Goods,12/14/2021,2.2,$10.00,$7.05,$3.49,-65.10%
Sidus Space Inc.,SIDU,Technology,12/14/2021,3,$5.00,$12.19,$2.19,-56.20%
"HashiCorp, Inc.",HCP,Technology,12/9/2021,15.3,$80.00,$85.19,$49.13,-38.59%
Nu Holdings Ltd.,NU,Financials,12/9/2021,289.2,$9.00,$10.33,$6.01,-33.22%
"Chicago Atlantic Real Estate Finance, Inc.",REFI,Financials,12/8/2021,6.3,$16.00,$16.49,$17.79,11.19%
BIOPLUS ACQUISITION CORP.,BIOSU,Blank Check,12/3/2021,20,$10.00,$0.00,$10.04,0.40%
Crescera Capital Acquisition Corp.,CRECU,Blank Check,11/19/2021,17.5,$10.00,$10.03,$10.06,0.60%
FinWise Bancorp,FINW,Financials,11/19/2021,3.5,$10.50,$12.73,$15.37,46.38%
SNOW LAKE RESOURCES LTD.,LITM,Basic Materials,11/19/2021,3.2,$7.50,$13.00,$5.13,-31.60%
"Sweetgreen, Inc.",SG,Consumer Services,11/18/2021,13,$28.00,$49.50,$27.73,-0.96%
"Braze, Inc.",BRZE,Technology,11/17/2021,8,$65.00,$93.39,$40.19,-38.17%
Iris Energy Limited,IREN,Financials,11/17/2021,8.3,$28.00,$24.45,$8.69,-68.96%
SONO GROUP N.V.,SEV,Industrials,11/17/2021,10,$15.00,$38.20,$4.93,-67.13%
"USERTESTING, INC.",USER,Technology,11/17/2021,10,$14.00,$14.01,$8.03,-42.64%
ENERGEM CORP.,ENCPU,Blank Check,11/16/2021,10,$10.00,$10.12,$10.12,1.20%
Journey Medical Corp.,DERM,Health Care,11/12/2021,3.5,$10.00,$0.00,$3.93,-60.70%
Mynaric AG,MYNA,Technology,11/12/2021,4,$16.50,$0.00,$10.25,-37.88%
"BACKBLAZE, INC.",BLZE,Technology,11/11/2021,6.3,$16.00,$19.90,$9.48,-40.75%
Kidpik Corp.,PIK,Consumer Goods,11/11/2021,2.1,$8.50,$8.50,$2.01,-76.35%
"Lulu’s Fashion Lounge Holdings, Inc.",LVLU,Consumer Goods,11/11/2021,5.8,$16.00,$13.06,$9.64,-39.75%
"TIVIC HEALTH SYSTEMS, INC.",TIVC,Health Care,11/11/2021,3,$5.00,$5.19,$1.53,-69.40%
"Vaxxinity, Inc.",VAXX,Health Care,11/11/2021,6,$13.00,$16.55,$3.61,-72.23%
"WEAVE COMMUNICATIONS, INC.",WEAV,Technology,11/11/2021,5,$24.00,$18.79,$4.86,-79.75%
"Winc, Inc.",WBEV,Consumer Goods,11/11/2021,1.5,$13.00,$12.27,$2.71,-79.15%
CI&T Inc.,CINT,Other,11/10/2021,13,$15.00,$18.44,$13.41,-10.60%
Expensify,EXFY,Technology,11/10/2021,9.7,$27.00,$41.06,$15.52,-42.52%
"Rivian Automotive, Inc.",RIVN,Industrials,11/10/2021,153,$78.00,$100.73,$31.22,-59.97%
"HERTZ GLOBAL HOLDINGS, INC.",HTZ,Consumer Services,11/9/2021,44.5,$29.00,$26.17,$20.06,-30.83%
Society Pass Inc.,SOPA,Technology,11/9/2021,2.9,$9.00,$48.30,$1.99,-77.89%
"THIRD COAST BANCSHARES, INC.",TCBX,Financials,11/9/2021,3.5,$25.00,$25.01,$22.49,-10.04%
Cian PLC,CIAN,Technology,11/5/2021,18.2,$16.00,$17.62,$3.40,-78.75%
"IO Biotech, Inc.",IOBT,Health Care,11/5/2021,7.2,$14.00,$15.65,$7.25,-48.21%
MAINZ BIOMED B.V.,MYNZ,Health Care,11/5/2021,2,$5.00,$9.99,$12.44,148.80%
"The Real Good Food Company, Inc.",RGF,Consumer Goods,11/5/2021,5.3,$12.00,$11.00,$7.17,-40.25%
"Arhaus, Inc.",ARHS,Consumer Goods,11/4/2021,12.9,$13.00,$12.80,$7.17,-44.85%
Cadre Holdings,CDRE,Industrials,11/4/2021,6,$13.00,$15.29,$25.38,95.23%
Evotec SE,EVO,Health Care,11/4/2021,20,$21.75,$22.00,$12.00,-44.83%
MDxHEALTH SA,MDXH,Health Care,11/4/2021,3.8,$12.00,$12.00,$8.03,-33.08%
NerdWallet,NRDS,Technology,11/4/2021,7.3,$18.00,$28.30,$9.90,-45.00%
"Allbirds, Inc.",BIRD,Industrials,11/3/2021,20.2,$15.00,$28.89,$5.08,-66.13%
"Claros Mortgage Trust, Inc.",CMTG,Financials,11/3/2021,5.5,$18.65,$17.00,$17.89,-4.08%
LianBio,LIAN,Health Care,11/1/2021,20.3,$16.00,$13.70,$5.02,-68.63%
"Aura Biosciences, Inc.",AURA,Health Care,10/29/2021,5.4,$14.00,$14.80,$16.96,21.14%
Entrada Therapeutics,TRDA,Health Care,10/29/2021,9.1,$20.00,$23.95,$5.98,-70.10%
HireRight Holdings Corp.,HRT,Other,10/29/2021,22.2,$19.00,$17.25,$17.41,-8.37%
"Sonendo, Inc.",SONX,Health Care,10/29/2021,7.8,$12.00,$9.20,$2.92,-75.67%
"Udemy, Inc.",UDMY,Consumer Services,10/29/2021,14.5,$29.00,$27.50,$10.91,-62.38%
"Fluence Energy, Inc.",FLNC,Utilities,10/28/2021,31,$28.00,$34.84,$9.45,-66.25%
GLOBALFOUNDRIES Inc.,GFS,Technology,10/28/2021,55,$47.00,$46.40,$52.29,11.26%
"Solo Brands, Inc.",DTC,Consumer Goods,10/28/2021,12.9,$17.00,$17.61,$6.31,-62.88%
"Arteris, Inc.",AIP,Technology,10/27/2021,5,$14.00,$18.20,$13.82,-1.29%
Informatica Inc.,INFA,Technology,10/27/2021,29,$29.00,$29.00,$20.67,-28.72%
"MARPAI, INC.",MRAI,Financials,10/27/2021,6.3,$4.00,$4.75,$1.60,-60.00%
"Rent the Runway, Inc.",RENT,Consumer Services,10/27/2021,17,$21.00,$19.29,$6.34,-69.81%
Augmedix,AUGX,Technology,10/26/2021,10,$4.00,$3.50,$2.88,-28.00%
"Aris Water Solutions, Inc.",ARIS,Oil & Gas,10/22/2021,17.7,$13.00,$14.30,$17.43,34.08%
"MINERVA SURGICAL, INC.",UTRS,Health Care,10/22/2021,6.3,$12.00,$9.00,$2.89,-75.92%
Xilio Therapeutics,XLO,Health Care,10/22/2021,7.4,$16.00,$16.00,$3.39,-78.81%
"Enfusion, Inc.",ENFN,Technology,10/21/2021,18.8,$17.00,$19.81,$12.77,-24.88%
"P10, INC.",PX,Financials,10/21/2021,20,$12.00,$12.08,$12.10,0.83%
Portillo’s Inc.,PTLO,Consumer Services,10/21/2021,20.3,$20.00,$29.10,$20.44,2.20%
RUNWAY GROWTH FINANCE CORP.,RWAY,Financials,10/21/2021,6.9,$14.60,$12.90,$14.37,-1.58%
"The Vita Coco Company, Inc.",COCO,Consumer Goods,10/21/2021,11.5,$15.00,$13.52,$10.86,-27.60%
Context Therapeutics,CNTX,Health Care,10/20/2021,5,$5.00,$5.10,$1.45,-71.00%
Cyngn,CYN,Technology,10/20/2021,3.5,$7.50,$7.40,$5.52,-26.40%
Stronghold Digital Mining,SDIG,Technology,10/20/2021,6.7,$19.00,$28.90,$3.90,-79.47%
"MiNK Therapeutics, Inc.",INKT,Health Care,10/15/2021,3.3,$12.00,$12.00,$2.24,-81.33%
"Paragon 28, Inc.",FNA,Health Care,10/15/2021,7.8,$16.00,$18.71,$18.12,13.25%
"GitLab, Inc.",GTLB,Technology,10/14/2021,10.4,$77.00,$103.89,$51.34,-33.32%
IHS Holding Limited,IHS,Industrials,10/14/2021,18,$21.00,$17.00,$10.50,-50.00%
Lucid Diagnostics Inc.,LUCD,Health Care,10/14/2021,5,$14.00,$11.76,$2.11,-84.93%
"AvidXchange Holdings, Inc.",AVDX,Technology,10/13/2021,26.4,$25.00,$24.94,$8.19,-67.24%
Healthcare Triangle,HCTI,Technology,10/13/2021,3.3,$4.00,$3.59,$0.78,-80.50%
"Cognition Therapeutics, Inc.",CGTX,Health Care,10/8/2021,3.4,$12.00,$12.77,$2.90,-75.83%
IsoPlexis Corp.,ISO,Health Care,10/8/2021,8.3,$15.00,$11.52,$1.85,-87.67%
"Pyxis Oncology, Inc.",PYXS,Health Care,10/8/2021,10.5,$16.00,$13.20,$2.45,-84.69%
"Life Time Group Holdings, Inc.",LTH,Consumer Services,10/7/2021,39,$18.00,$17.75,$14.50,-19.44%
"Theseus Pharmaceuticals, Inc.",THRX,Health Care,10/7/2021,10,$16.00,$18.58,$8.17,-48.94%
Nuvei Corp.,NVEI,Technology,10/6/2021,3,$123.14,$129.80,$55.91,-54.60%
"Volcon, Inc.",VLCN,Industrials,10/6/2021,3,$5.50,$10.86,$1.54,-72.00%
Exscientia plc,EXAI,Health Care,10/1/2021,13.9,$22.00,$0.00,$10.76,-51.09%
"First Watch Restaurant Group, Inc.",FWRG,Consumer Services,10/1/2021,9.5,$18.00,$0.00,$13.00,-27.78%
TDCX Inc.,TDCX,Technology,10/1/2021,19.4,$18.00,$0.00,$12.82,-28.78%
"Olaplex Holdings, Inc.",OLPX,Consumer Goods,9/30/2021,73.7,$21.00,$24.50,$14.70,-30.00%
Hennessy Capital Investment Corp. VI,HCVIU,Blank Check,9/29/2021,30,$10.00,$0.00,$10.07,0.70%
MELI Kaszek Pioneer Corp.,MEKA,Blank Check,9/29/2021,25,$10.00,$0.00,$10.20,2.00%
Warby Parker Inc.,WRBY,Consumer Goods,9/29/2021,77.7,$40.00,$54.49,$23.29,-41.78%
"Amplitude, Inc.",AMPL,Technology,9/28/2021,35.4,$50.00,$54.80,$17.46,-65.08%
"Clearwater Analytics Holdings, Inc.",CWAN,Technology,9/24/2021,30,$18.00,$25.37,$17.86,-0.78%
Cue Health Inc.,HLTH,Health Care,9/24/2021,12.5,$16.00,$20.00,$6.40,-60.00%
Argo Blockchain Plc,ARBK,Technology,9/23/2021,7.5,$15.00,$16.75,$8.29,-44.73%
"Brilliant Earth Group, Inc.",BRLT,Industrials,9/23/2021,8.3,$12.00,$17.12,$7.08,-41.00%
"ENGAGESMART, INC.",ESMT,Technology,9/23/2021,14.6,$26.00,$34.12,$20.88,-19.69%
"Remitly Global, Inc.",RELY,Technology,9/23/2021,12.2,$43.00,$48.45,$11.10,-74.19%
"Sovos Brands, Inc.",SOVO,Industrials,9/23/2021,23.3,$12.00,$13.52,$14.64,22.00%
Sterling Check Corp.,STER,Technology,9/23/2021,14.3,$23.00,$26.90,$25.98,12.96%
Thorne HealthTech,THRN,Consumer Goods,9/23/2021,7,$10.00,$7.55,$6.70,-33.00%
a.k.a. Brands Holding Corp.,AKA,Consumer Goods,9/22/2021,10,$11.00,$9.99,$3.53,-67.91%
Freshworks,FRSH,Technology,9/22/2021,28.5,$36.00,$47.55,$18.94,-47.39%
"Toast, Inc.",TOST,Technology,9/22/2021,21.7,$40.00,$62.51,$20.59,-48.53%
VersaBank,VBNK,Financials,9/22/2021,5.5,$10.00,$10.50,$10.22,2.20%
"Enact Holdings, Inc. (formerly Genworth Mortgage Holdings, Inc.)",ACT,Financials,9/16/2021,13.3,$19.00,$20.49,$23.66,24.53%
"ForgeRock, Inc.",FORG,Technology,9/16/2021,11,$25.00,$36.50,$20.54,-17.84%
Aesther Healthcare Acquisition Corp.,AEHAU,Blank Check,9/15/2021,10,$10.00,$10.06,$10.25,2.50%
Definitive Healthcare Corp.,DH,Technology,9/15/2021,15.6,$27.00,$43.29,$24.35,-9.81%
"DICE Therapeutics, Inc.",DICE,Health Care,9/15/2021,12,$17.00,$36.89,$20.32,19.53%
Dutch Bros Inc.,BROS,Consumer Goods,9/15/2021,21.1,$23.00,$36.68,$47.77,107.70%
"EzFill Holdings, Inc.",EZFL,Consumer Services,9/15/2021,6.3,$4.00,$4.54,$0.65,-83.75%
On Holding AG,ONON,Industrials,9/15/2021,31.1,$24.00,$35.00,$24.97,4.04%
PROCEPT BioRobotics,PRCT,Health Care,9/15/2021,6.6,$25.00,$41.94,$35.56,42.24%
Thoughtworks Holding Inc. (Turing Holding),TWKS,Technology,9/15/2021,36.8,$21.00,$29.39,$18.51,-11.86%
Tyra Biosciences,TYRA,Health Care,9/15/2021,10.8,$16.00,$26.00,$7.47,-53.31%
Sportradar Group AG,SRAD,Technology,9/14/2021,19,$27.00,$25.05,$12.73,-52.85%
DoubleDown Interactive,DDI,Technology,8/31/2021,6.3,$18.00,$17.75,$11.03,-38.72%
Focus Universal Inc.,FCUV,Technology,8/31/2021,2,$5.00,$5.10,$14.37,187.40%
"Biotricity, Inc.",BTCY,Health Care,8/26/2021,5,$3.00,$2.91,$1.47,-51.00%
authID.ai (IPSIDY INC.),AUID,Technology,8/24/2021,1.4,$7.00,$7.40,$3.14,-55.14%
"Southern States Bancshares, Inc.",SSBK,Financials,8/12/2021,2,$19.00,$19.77,$22.95,20.79%
Eliem Therapeutics,ELYM,Health Care,8/10/2021,6.4,$12.50,$15.90,$3.16,-74.72%
Adagio Therapeutics,ADGI,Health Care,8/6/2021,18.2,$17.00,$20.88,$2.86,-83.18%
"European Wax Center, Inc.",EWCZ,Consumer Services,8/5/2021,10.6,$17.00,$21.39,$27.06,59.18%
Orange County Bancorp,OBT,Financials,8/5/2021,1,$33.50,$34.10,$39.45,17.76%
Weber Inc.,WEBR,Industrials,8/5/2021,17.9,$14.00,$16.50,$8.78,-37.29%
Dole plc,DOLE,Consumer Goods,7/30/2021,25,$16.00,$14.50,$11.91,-25.56%
Immuneering Corp.,IMRX,Health Care,7/30/2021,7.5,$15.00,$17.59,$5.35,-64.33%
"IN8bio, INC.",INAB,Health Care,7/30/2021,4,$10.00,$10.00,$2.40,-76.00%
Omega Therapeutics,OMGA,Health Care,7/30/2021,7.4,$17.00,$16.00,$3.41,-79.94%
Rani Therapeutics Holdings,RANI,Health Care,7/30/2021,6.7,$11.00,$11.00,$12.23,11.18%
RxSight,RXST,Health Care,7/30/2021,7.4,$16.00,$16.00,$11.69,-26.94%
"Tenaya Therapeutics, Inc.",TNYA,Health Care,7/30/2021,12,$15.00,$15.35,$9.22,-38.53%
"Icosavax, Inc.",ICVX,Health Care,7/29/2021,12.1,$15.00,$34.97,$7.25,-51.67%
Metals Acquisition Corp,MTAL.U,Blank Check,7/29/2021,25,$10.00,$9.83,$9.83,-1.70%
"Nuvalent, Inc.",NUVL,Health Care,7/29/2021,9.8,$17.00,$18.75,$10.29,-39.47%
Rallybio Corp.,RLYB,Health Care,7/29/2021,6.2,$13.00,$14.10,$9.73,-25.15%
Riskified Ltd.,RSKD,Technology,7/29/2021,17.5,$21.00,$26.00,$5.23,-75.10%
Software Acquisition Group Inc. III,SWAGU,Blank Check,7/29/2021,20,$10.00,$10.00,$10.26,2.60%
Traeger Inc. (TGPX Holdings I LLC),COOK,Industrials,7/29/2021,23.5,$18.00,$22.00,$6.23,-65.39%
DA32 Life Science Tech Acquisition,DALS,Blank Check,7/28/2021,20,$10.00,$9.84,$9.80,-2.00%
"Duolingo, Inc.",DUOL,Technology,7/28/2021,5.1,$102.00,$139.01,$87.96,-13.76%
"MeridianLink, Inc.",MLNK,Technology,7/28/2021,13.2,$26.00,$24.60,$16.15,-37.88%
"PowerSchool Holdings, Inc.",PWSC,Technology,7/28/2021,39.5,$18.00,$18.00,$15.06,-16.33%
Snap One Holdings Corp.,SNPO,Industrials,7/28/2021,13.9,$18.00,$16.55,$11.92,-33.78%
Candel Therapeutics,CADL,Health Care,7/27/2021,9,$8.00,$7.00,$3.75,-53.13%
Caribou Biosciences,CRBU,Health Care,7/23/2021,19,$16.00,$16.32,$7.40,-53.75%
"Core & Main, Inc.",CNM,Industrials,7/23/2021,34.9,$20.00,$23.70,$23.76,18.80%
Cytek BioSciences,CTKB,Health Care,7/23/2021,16.8,$17.00,$18.76,$9.65,-43.24%
Gambling.com Group Limited,GAMB,Consumer Services,7/23/2021,5.3,$8.00,$8.00,$8.28,3.50%
Outbrain Inc.,OB,Technology,7/23/2021,8,$20.00,$20.00,$9.50,-52.50%
SOPHiA GENETICS SA,SOPH,Health Care,7/23/2021,13,$18.00,$16.76,$6.85,-61.94%
U.S. Century Bank,USCB,Financials,7/23/2021,4,$10.00,$10.82,$13.72,37.20%
"Xponential Fitness, Inc.",XPOF,Consumer Services,7/23/2021,10,$12.00,$12.25,$20.72,72.67%
AbSci Corp.,ABSI,Health Care,7/22/2021,12.5,$16.00,$21.59,$6.51,-59.31%
"Couchbase, Inc.",BASE,Technology,7/22/2021,8.3,$24.00,$30.40,$17.00,-29.17%
"Instructure Holdings, Inc.",INST,Technology,7/22/2021,12.5,$20.00,$20.98,$17.59,-12.05%
"Ryan Specialty Group Holdings, Inc.",RYAN,Financials,7/22/2021,56.9,$23.50,$27.50,$38.58,64.17%
Zenvia Inc.,ZENV,Technology,7/22/2021,11.5,$13.00,$10.20,$6.76,-48.00%
Zevia PBC,ZVIA,Consumer Goods,7/22/2021,10.7,$14.00,$13.65,$3.44,-75.43%
CS Disco,LAW,Technology,7/21/2021,7,$32.00,$41.00,$30.71,-4.03%
"Kaltura, Inc.",KLTR,Technology,7/21/2021,15,$10.00,$12.00,$1.59,-84.10%
"Paycor HCM, Inc.",PYCR,Technology,7/21/2021,18.5,$23.00,$26.05,$25.10,9.13%
Twin Vee PowerCats,VEEE,Consumer Goods,7/21/2021,3,$6.00,$7.49,$3.63,-39.50%
VTEX,VTEX,Technology,7/21/2021,19,$19.00,$22.18,$5.29,-72.16%
HCW Biologics Inc.,HCWB,Health Care,7/20/2021,7,$8.00,$6.30,$2.34,-70.75%
"Blend Labs, Inc.",BLND,Technology,7/16/2021,20,$18.00,$20.90,$4.67,-74.06%
Bridge Investment Group Holdings Inc.,BRDG,Financials,7/16/2021,18.8,$16.00,$15.65,$18.78,17.38%
"Erasca, Inc.",ERAS,Health Care,7/16/2021,18.8,$16.00,$17.43,$8.04,-49.75%
"Imago BioSciences, Inc.",IMGO,Health Care,7/16/2021,8.4,$16.00,$16.29,$19.12,19.50%
Regencell Bioscience Holdings Ltd.,RGC,Health Care,7/16/2021,2.3,$9.50,$10.50,$23.22,144.42%
Stevanato Group S.p.A.,STVN,Health Care,7/16/2021,32,$21.00,$19.67,$16.19,-22.90%
TScan Therapeutics,TCRX,Health Care,7/16/2021,6.7,$15.00,$10.50,$2.16,-85.60%
F45 Training Holdings Inc.,FXLV,Consumer Services,7/15/2021,20.3,$16.00,$16.20,$9.12,-43.00%
Membership Collective Group Inc.,MCG,Other,7/15/2021,30,$14.00,$12.66,$7.49,-46.50%
"Phillips Edison & Company, Inc.",PECO,Financials,7/15/2021,17,$28.00,$27.83,$33.86,20.93%
"Rapid Micro Biosystems, Inc.",RPID,Health Care,7/15/2021,7.9,$20.00,$21.40,$5.83,-70.85%
"SERA PROGNOSTICS, INC.",SERA,Health Care,7/15/2021,4.7,$16.00,$11.90,$2.23,-86.06%
"Sight Sciences, Inc.",SGHT,Health Care,7/15/2021,10,$24.00,$33.50,$7.06,-70.58%
ARYA Sciences Acquisition Corp V,ARYE,Blank Check,7/13/2021,13,$10.00,$10.05,$9.71,-2.90%
Sentage Holdings Inc.,SNTG,Financials,7/9/2021,4,$5.00,$34.89,$0.69,-86.20%
"Transcode Therapeutics, Inc.",RNAZ,Health Care,7/9/2021,6.3,$4.00,$5.29,$2.80,-30.00%
AltC Acquisition Corp. (formerly Churchill Capital Corp. VIII),ALCC,Blank Check,7/8/2021,45,$10.00,$9.98,$9.74,-2.60%
Moving iMage Technologies,MITQ,Consumer Goods,7/8/2021,4.2,$3.00,$24.00,$1.19,-60.33%
NYXOAH SA,NYXH,Health Care,7/2/2021,2.8,$30.00,$30.11,$17.22,-42.60%
